Name,Varietal,Vintage,Winery,Color
Cabernet Franc Reserve,Cabernet Franc,2015,Bookcliff Vinyards,Red
Sweet Gewürztraminer,Gewürztraminer,2017,Carlson Vinyards,White
Cabernet Franc Reserve,Cabernet Franc,2015,Bookcliff Vinyards,Red
“Coral” White Cabernet Sauvignon,Cabernet Sauvignon,2017,Colterris,White
Cabernet Franc,Cabernet Franc,2016,The Infinite Monkey Theorem,Red
Syrah,Syrah,2016,Monkshood Cellars,Red
Petit Verdot,Petit Verdot,2016,Colterris,Red
Elevé,Rhône-Style Blend,2016,Snowy Peaks Winery,Red
Riesling,Riesling,2017,Whitewater Hill Vineyards,White
Teroldego,Teroldego,2016,Red Fox Cellars,Red
"Estate Selection, Riverside Vineyard",Merlot,2016,Colterris,Red
Ensemble,Bordeaux-Style Blend,2016,Bookcliff Vinyards,Red
Graciano,Graciano,2016,Bookcliff Vinyards,Red
NSFW White,Blend,2018,Carlson Vinyards,White
Dry Riesling,Riesling,2018,Storm Cellar,White
Laughing Cat,Blend,2017,Carlson Vinyards,Red
Sebastien’s Reserve,Bordeaux-Style Blend,2017,Snowy Peaks Winery,Red
Vintner’s Reserve,Blend,2017,Turquoise Mesa Winery,Red
Viogner,Viogner,2017,Carboy Winery,White
Moscato,Moscato,2018,Whitewater Hill Vineyards,White
Sweet Baby White,Blend,2017,Carlson Vinyards,White
Evidence,Blend,2017,Ladron Cellars,White
No Oak Chardonnay,Chardonnay,2018,Whitewater Hill Vineyards,White